年份,題號 ,答案 ,完整題目,章節出處,名稱
104,17,C,有關到院前緊急醫療救護之病史詢問，下列何者為是？ (A)SAMPLE 乃應用於主訴導向式系統檢閱。 (B)OPQRST 乃針對創傷傷患評估設計。 (C)對發燒病患詢問 TOCC 四史指的是 (旅遊史 Travel history、職業別 Occupation、接觸史 Contact history 及群聚 Cluster 情形) 。 (D)現場救護往往會遭遇特殊的病患或狀況影響病患溝通與評估，高級救護技術員除了必須熟悉各種特殊狀況的溝通技巧外，應該儘量承諾來顯現自信以符合病患或家屬的期待。,19,
104,18,B,有關醫病與救護溝通可能會遇到的困境導致溝通無效或失敗，下列何者為非？ (A)接受者的背景或特質 (Attributes of the receiver)：例如與外傭詢問是否應停止病患之現場急救復甦 (TOR)。 (B)選擇性的解讀 (Selective perception) ：例如某些宗教的病患對於肢體接觸感到被冒犯。 (C)語義不清 (Semantic problems): 例如救護技術員通知醫院關於病患意識不清的狀況。 (D)時間壓力 (Time pressure): 例如對於 OHCA 病患救護處置 AED 的使用訊息傳遞不足。,18,
104,19,D,年輕男性在吃了花生之後突然出現呼吸困難，以下作法何者為非？ (A)若頸部出現喘鳴聲，而周邊呼吸音降低，應考慮進行哈姆立克法。 (B)若血中氧氣濃度下降可考慮先給正壓呼吸。 (C)若有起紅疹、血壓降低，可考慮給予 epinephrine 0.3~0.5mg 肌肉注射。 (D)若正壓呼吸仍無法改善血氧濃度，可給予 LMA 或 Combitube 做為進階呼吸道。,40,
104,20,B,一位平時有酒癮的病患，突然發生抽搐，造成頭部外傷且意識不清，以下作法何者為非？ (A)應測量血糖並給予維他命 B1 補充。 (B)為了避免影響判斷是否為酒精戒斷所引起的抽搐，應避免給予 Lorazepam 此類鎮靜藥物。 (C)此時不應給予 Flumazenil 此類鎮靜劑之拮抗藥物，因可能再引發抽搐。 (D)有可能是酒精造成的意識不清，但仍需注意是否有腦出血的可能。,50,
104,21,C,對於有冠狀動脈性心臟病病史的急性胸痛病患，以下敘述何者為非？ (A)進行到院前 12 導程心電圖檢查有助於縮短 ST 波段上升型心肌梗塞進行心導管的時間。 (B)對於典型胸痛且無相關禁忌症的病患，應給予 Aspirin 服用。 (C)建議給予氧氣鼻管 3L/min ，以改善潛在的心臟缺氧狀況。 (D)如果使用 NTG ，無論男女應先確認病患有無服用 Viagra 這類磷酸二酯酶抑制劑藥物。,34,
104,22,A,對於穩定規則窄 QRS 波頻脈，以下敘述何者為非？ (A)若發生於孕婦身上，因可能影響胎兒心律，因此不應使用 Adenosine 。 (B)除了 Adenosine 之外，亦可選擇乙型腎上腺受體阻斷劑、毛地黃加以治療。 (C)若使用鈣離子阻斷劑不必擔心引發有氣喘病史病患的氣喘。 (D)若藥物治療無效，可考慮同步整律。,34,
104,23,C,25 歲年輕女性，出現眼睛凸出、脖子腫的情形，以下敘述何者為非？ (A)心電圖可能出現竇性心搏過速或心房纖維顫動。 (B)病史上常可發現體重減輕、怕熱的情形。 (C)此疾病俗稱「大脖子」，應補充碘鹽。 (D)若出現發燒、意識不清、肚子痛的情形，是危及生命的緊急狀況，應立刻就醫。,37,
104,24,A & D,對於突然發生食慾不振、黃疸的病毒性肝炎病患，以下敘述何者為非？ (A)由於臺灣人以 B 肝與 C 肝病毒為主，且普遍有 A 肝病毒抗體，較不必擔心口沫傳染的 A 型肝炎。 (B)B 型肝炎病毒主要由體液傳染，只要做好適當的保護措施即可避免感染。 (C)C 型肝炎目前仍無疫苗可以預防。 (D)急性病毒性肝炎的病患，除了 B 型肝炎外，只有支持性治療可以給予。,42,
104,25,C,對於身上突然出現多處瘀斑的病患，以下敘述何者為非？ (A)此為凝血功能障礙，應檢查血小板數量與功能以及肝臟製造凝血因子能力。 (B)血友病病患雖無外傷，也可能有自發性出血，但多以深部組織出血為主。 (C)對於自發性出血的病患，為避免造成傷口及出血不止，不應進行靜留置針注射。 (D)即便血小板數量正常，仍有可能出現自發性的出血。,39,
104,26,B,關於過敏的描述，以下敘述何者為非？ (A)局部性的過敏反應並不會影響到全身，治療最有效的藥物是 Diphenhydramine 。 (B)嚴重過敏病患休克的原因是因為呼吸道阻塞、水腫，最好的治療是給予氣管擴張劑。 (C)如果出現聲音沙啞舌頭水腫、喘鳴等，應評估是否要早期插管。 (D)嚴重過敏最有效的治療藥物是腎上腺素。,40,
104,27,C,對於腎衰竭病患的描述，以下敘述何者為非？ (A)腎衰竭患者即便有規則洗腎，且有注意飲食，仍有可能因為血鉀過高出現致命性的心律不整。 (B)腎衰竭患者即便洗腎順利、乾體重控制穩定，仍然有能出現體液過多、肺水腫的情形。 (C)腎衰竭患者出現呼吸困難、肺水腫的症狀時，因心絞痛，所以給予 NTG 沒有幫助。 (D)腎衰竭病患雖沒有排尿，仍有可能出現脫水現象，在謹慎評估後，仍可給予輸液補充。,41,
104,28,D,關於疥瘡，以下敘述何者為非？ (A)若病患有在使用類固醇，病症會較不典型，不易診斷。 (B)治療疥瘡常用的疥瘡乳劑不適用於孕婦。 (C)疥瘡患者接觸過的床單、被褥、枕頭套應以塑膠袋密封兩週使成蟲及蟲卵死亡。 (D)疥蟲孵化只需 3 天，因此若懷疑接觸疥瘡患者，一週以上沒有症狀，就不用擔心感染。,42,
104,29,D,下列有關危及生命的成人呼吸急症的徵象，以下敘述何者為是？ (A)意識狀態改變以及嚴重發紺。 (B)胸骨上凹陷，肋間凹陷或使用呼吸輔助肌。 (C)心跳過快，臉色蒼白、冒汗。 (D)以上皆是。,35,
104,30,C,有關於成人呼吸窘迫症（adult respiratory distress syndrome，ARDS）的敘述，下列何者為非？ (A)是一種猛爆型的呼吸衰竭。 (B)急性的肺發炎和廣泛性的肺泡及微血管傷害為特徵。 (C)這症候群通常不會因為其他的傷害或疾病所引起。 (D)這類病患的肺部會變得又濕又重，肺泡彈性變差使氣體擴散能力大幅下降。,35,
104,31,C,下列有關洛杉磯到院前腦中風評量表的評量項目，以下敘述何者為非？ (A)症狀發生在 24 小時內。 (B)下列三項中任何之一有單側不對稱的情形：臉部表情、握力、手臂力量的強度。 (C)年紀大於 35 歲。 (D)病患平常不是坐輪椅或長期臥床。,36,
104,32,B,下列有關心電圖導程 ST 節段上升與冠狀動脈阻塞的配對，以下敘述何者為非？ (A)導程Ⅱ、Ⅲ、aVF 代表下壁心肌梗塞：因右冠狀動脈阻塞所致。 (B)導程 V1、V2 代表心室中隔心肌梗塞：因右前降支冠狀動脈阻塞所致。 (C)導程 V3、V4 代表前壁心肌梗塞：因左前降支冠狀動脈阻塞所致。 (D)導程 V5、V6 代表側壁心肌梗塞：因左迴旋枝冠狀動脈阻塞所致。,34,
104,33,D,有關於肺動脈栓塞的維爾氏評分系統（Well's scoring system），下列敘述何者為是？ (A)臨床上懷疑深部靜脈血栓： 3.0 分。 (B)其他替代診斷可能性低： 3.0 分。 (C)在過去四周曾接受外科手術或臥床少動： 1.5 分。 (D)以上敘述皆為正確。,35,
104,34,D,有關於急性肺水腫無合併低血壓及休克第一線治療的敘述，下列何者為非？ (A)furosemide（lasix）靜脈注射是第一線治療。 (B)morphine 靜脈注射是第一線治療。 (C)nitroglycerin 舌下片是第一線治療，nitroglycerin 靜脈滴注則是第二線治療。 (D)此類病患心臟不佳，氣管插管的刺激太大會惡化病情，故絕不考慮使用。,34,
104,35,C,有關糖尿病酮酸血症（DKA，Diabetic ketoacidosis）的敘述，下列何者為非？ (A)因為胰島素的缺乏，讓血液中的葡萄糖無法進入細胞中被利用。 (B)所以細胞在尋找利用新能量的過程中產生酮酸進而造成身體酸中毒。 (C)病患產生休克的原因和高血糖造成的利尿作用無關。 (D)此類病患有時可以從病患的呼氣中聞到類似水果發酵的丙酮味。,37,
104,36,B,65 歲男性病患因為意識昏迷，家屬發現後報案；指揮中心派遣高救隊到現場，現場患者意識昏迷對痛沒有反應，膚色蒼白濕冷，呼吸每分鐘 6 下，脈搏每分鐘 24 下，血壓 50/量不到 mmHg，pulse oximeter：60％；病患過去病史為腎衰竭合併洗腎，但根據家屬表示，病患已經有半個月沒有接受血液透析治療，家屬也表示病患拒絕插管以及任何壓胸電擊等急救治療，只要給予藥物；下列敘述何者為是？（送醫時間 30 分鐘） (A)病患不可能是高血鉀引起的腎衰竭病患的併發症。 (B)可以線上醫療指導靜脈注射 calcium 及 sodium bicarbonate 來治療。 (C)病患是腎衰竭患者，因此要絕對限水，不可以幫他打上點滴。 (D)腎衰竭病患若是有接受血液透析治療，就絕對不可能有尿液的產生。,41,
104,37,C,有關致命性過敏反應，下列敘述何者為非？ (A)過敏性抗原進入人體後造成白血球釋放組織胺以及白三烯素等物質有關。 (B)組織胺以及白三烯素會造成血管擴張以及氣管痙攣而引起循環崩潰和休克進而致命。 (C)人體接受抗原的刺激次數越多，越容易產生免疫作用而使過敏反應越輕微。 (D)治療的藥物包括腎上腺素、抗組織胺以及類固醇等。,40,
104,38,C,"44 歲男性病患在與朋友飲酒後吐大量鮮血，指揮中心派遣高救隊到現場，現場病患臉色蒼白冒冷汗，意識對痛有反應，脈搏每分鐘 120 下，血壓 80/50mmHg，呼吸每分鐘 30 次，過去病史以及過敏史不詳，下列敘述何者為是？ 1.病患疑似為上消化道出血合併休克，Mallory-Weiss 症候群不可能為病因。 2.病患一定有解黑便的症狀。 3.在時間以及裝備許可的情況下，病患應接受生理食鹽水的輸液治療。 4.長期酗酒的病患有可能是因為食道靜脈曲張出血造成大量吐血。 (A)1,2,3,4 (B)2,3 (C)3,4 (D)1,4",38,
104,39,C,下列何者不是心肌的特性？ (A)具自動節律性（autorhythmicity/automaticity）。 (B)具有相當長的不反應期（refractory period）。 (C)可誘發強直收縮（tetanus）抽筋的現象。 (D)細胞間彼此緊密連接，使動作電位可以同時快速地傳給其他細胞引發一致收縮。,12,
104,40,D,關於 Amiodarone，下列何者為非？ (A)可能導致血管擴張及血壓下降。 (B)也會降低心跳。 (C)不可以使用在 Torsades de pointes 心律上。 (D)藥效很短，半衰期（half life）1~2 個小時，所以常需連續使用。,16,
104,41,B,以下十種給藥路徑：(1)靜脈注射、(2)骨內注射、(3)肌肉注射、(4)皮下注射、(5)口服給藥、(6)舌下給藥、(7)直腸給藥、(8)霧氣吸入、(9)氣管內管、(10)局部給藥，關於它們的吸收與作用速度快慢，下列何者為非？ (A)(1) ≧ (2) ＞ (3) ＞ (4)。 (B)(9) ＞ (2) ＞ (7)。 (C)(1) ＞ (6) ＞ (5)。 (D)(8) ＞ (9) ＞ (10)。,17,
104,42,D,你決定要幫下列 OHCA 病患插管，請問哪一種病患比較不會讓你擔心有困難插管的問題？ (A)目視超過 100KG 的年輕男性。 (B)車禍合併臉部與頭部外傷中年女性，已上頸圈頸椎固定。 (C)一上吊的年輕女性，目測下巴尖端至舌骨距離為兩指幅。 (D)溺水孕婦，身旁有一堆焦急的家屬。,14,
104,43,C,你幫一位 OHCA 患者緊急氣管內插管，插上後幫病患接上潮氣末二氧化碳監測器（end-tidal CO2 monitor/Capnography），繼續進行 CPR 後，二氧化碳濃度（PETCO2）監測卻無正常波形且二氧化碳分壓一直達不到 10mmHg，可能原因以下何者為非？ (A)未確實進行五點聽診，插到胃裡。 (B)氣管內管前端反折、或被血塊等異物塞住。 (C)插管位置過深。 (D)心肺功能停止過久，肺部血流無循環，故呼出的氣體不會有二氧化碳。,14,
104,44,D,下列對於腺甘酸（Adenosine）的敘述何者為是？ (A)為一外生性的核酸嘌呤，可短暫地抑制房室節（AV node）和竇房結（sinus node）的活性。 (B)對毒、藥物引起之心搏過速特別有用，是控制心率的首選藥物。 (C)因為可能引起病患發生臉潮紅及胸悶症狀，所以應緩慢注射，避免不適。 (D)病患若為心房撲動（AF），在注射 Adenosine 之後，可能會在心電圖監視器上出現鋸齒狀波形。,16,
104,45,B,傷病患的預立醫囑是 0.9％氯化鈉溶液（生理食鹽水）500 毫升，使用標準輸液套管滴注 4 小時，請問滴速每分鐘約幾滴？ (A)30 滴。 (B)40 滴。 (C)50 滴。 (D)60 滴。,17,
104,46,B,以下針對 LMA(Laryngeal mask airway 喉罩呼吸道)的敘述何者為非？ (A)與氣管內管相比，LMA 的置放不僅學習容易、又不必使用喉頭鏡，不需要求目視聲帶，不須張大嘴巴，所以成功率較高。 (B)在侷限空間及外傷頸椎固定的考量下，喉罩呼吸道有其獨到的優點，而且又可以保護呼吸道，避免呼吸道吸入性嗆傷，所以成為到院前救護的標準配備。 (C)不宜使用在腐蝕性喉部傷害、食道外傷或病變的病患。 (D)一般成人可選擇使用 5 號。,14,
104,47,B,有關氧氣，二氧化碳及血紅素的敘述，下列何者為是？ (A)氧氣在血液中主要以直接溶解的形式存在。 (B)通常血紅素在氧氣分子 80~100 mmHg 時達到飽和。 (C)二氧化碳在血液中主要與血中蛋白質結合為主。 (D)在組織中有攜帶氧氣的血紅素較易接受二氧化碳。,12、14,
104,48,C,有關抽吸的敘述，下列敘述何者為非？ (A)抽吸管依型式可分為軟式管及硬式管。 (B)固定式抽吸裝置應可提供超過 300mmHg 的吸力，以及 40L/min 的流量。 (C)抽吸時盡量以無菌方式操作，先將管子放到入口，再邊旋轉邊向內插入抽吸管。 (D)抽吸時同時做一壓一放的動作，避免做連續性的抽吸動作，以免吸住呼吸道管壁造成傷害。,14,
104,49,C,有關如「八仙塵暴」大量傷患事故的描述，何者為非？ (A)傷患人數與嚴重度大於區域救護資源，可稱為災難。 (B)現場傷患，應先做適當檢傷分類與處置後後送。 (C)以改良式的 START（Revised START）檢傷法，可以有效處理「八仙塵暴」大量傷患事故。 (D)現場事故控制管理應優於個別傷患處置。,52,
104,50,D,有關事故應變管理週期之順序，何者為是？ 1.準備 2.應變 3.復原 4.減災 (A)1234 (B)1243 (C)4231 (D)4123,52,
104,51,A,有關事故指揮系統 ICS(Incident Command System) 的敘述，何者為非？ (A)指揮架構應配合平時行政組織架構，以發揮指揮效能。 (B)指揮權轉移，應轉給 ICS 運作經驗夠的適任人員，而不是以位階高的人員。 (C)事故中指揮權轉移，不宜過於頻繁。 (D)事故規模不大，未被指定的職位，由事故指揮官兼任。,52,
104,52,A,當災難發生時，你是第一輛救護車，由資深的你擔任事故指揮官。長官與支援同僚也陸續抵達，這時候指揮權的轉移，何者最不適當？ (A)由職級高者，層層轉移。 (B)可轉移給對事故指揮系統熟悉經驗多之同僚。 (C)事故中指揮權轉移，不宜過於頻繁。 (D)指揮權的轉移必須依照事故應變的整體狀況來決定。,52,
104,53,D,有關單純輻射傷害的描述，何者為非？ (A)在暴露輻射的短期間就發生頭痛或身體不適的情況，這多半是心理因素導致。 (B)輻射傷害傷患，外表無皮膚缺損，仍須做適當除汙。 (C)輻射污染可以用輻射偵檢器檢測出，並且可以精確的定出污染範圍。 (D)輻射傷害傷患除汙中，皮膚開始出現破損，偵測輻射劑量在背景值的 2-3 倍以上，仍須繼續清洗除污步驟。,53,
104,54,A,有關大型活動緊急醫療救護的敘述，何者為非？ (A)大型群眾聚集活動，傷病及心臟停止的機會較低。 (B)心臟停止病患的救活率，比大多數先進的緊急醫療救護系統為高。 (C)治療心臟停止病人，電擊去顫為生存之鏈 (Chain of Survival) 中最重要且最有效的一環。 (D)超過二個人有類似特殊病況、傳染性疾病，嚴重病患，都需通知醫務執行長及總指揮。,54,
104,55,B,有關核生化災難大量傷患除汙處置的描述，何者為非？ (A)核生化災難，大量傷患處置原則相似，須除汙與檢傷分類。 (B)如果傷患有立即生命危險，為保護現場傷患與工作人員，仍須先仔細除汙後再處置穩定傷患。 (C)危害物質如果是純粉末顆粒 (如氫氧化鈉)，不適合以大量清水除汙。 (D)核生化災難除汙後的廢棄物，應妥善處理以免二次汙染。,53,
104,56,D,有關生物恐怖攻擊的描述，何者為非？ (A)生物戰劑容易大量製造。 (B)生物恐怖事件不易偵測、不易預防、難於辨認。 (C)蔓延性廣、滲透性強；可造成嚴重的心理衝擊；能催垮所有現有資源。 (D)生物戰劑可以有效率的散播。,53,
104,57,A,下列對災難後的醫療需求的描述，何者為是？ (A)最大的醫療需求是在前 24 小時，高峰期:持續三~五天。 (B)急性期內科和創傷病患為主。 (C)大多數的受害者都是依靠外來的醫療隊伍支援。 (D)災區裡的醫療體系不太會受到衝擊。,52,
104,58,C,一生產鐵片的工廠發生大爆炸，已知傷患有五百位，於檢傷分類時，下列何者為非？ (A)寬五公分的鐵片，貫穿頸部，病患無呼吸、無脈搏，給予傷票 ”黑” (B)寬五公分的鐵片，一端刺穿入胸內，病患呼吸急迫，給予傷票 ”紅” (C)寬五公分鐵片，貫穿右大腿，病患不能行走，紅色鮮血直流，給予傷票 ”黃” (D)病患左小腿撕裂傷十公分，深可見肌肉，無法行走，給予傷票 ”黃”。,52,
104,59,B,在災難事故現場，下列何者不是在醫療站時決定病患治療優先順位的影響因素？ (A)年齡。 (B)送達醫療站的先後順序。 (C)預估的醫療資源消耗。 (D)需要穩定的 ABC 異常。,52,
104,60,C,有關 START 的敘述，何者為是？ (A)觀察病患的意識狀況為第一步驟。 (B)凡是沒有呼吸，可立刻判為黑色。 (C)呼吸速度超過每分鐘 30 下，應判為紅色。 (D)START 的快速治療主要包括心肺復甦術。,52,
104,61,A,在現場進行的初級檢傷時，只能做某些拯救生命的必要措施，這些可歸納成口訣 BASIC，以下選項何者為非？ (A)Breathe 呼吸。 (B)Airway 呼吸道。 (C)Shock 休克預防。 (D)Classification 分類。,52,
104,62,D,對於胸部創傷之陷阱及注意事項，下列何者為是？ (A)懷疑主動脈不完全破裂時，繼續積極處理不需考慮轉診至有能力處理的醫院。 (B)插入胸管後仍有持續性氣胸，且肺臟無法擴張時，可先不用懷疑氣管、支氣管之破裂或食道破裂。 (C)橫隔破裂容易診斷，除了會影響呼吸功能外，更可能造成移位到胸腔之腹內器官缺血、壞死及破裂。 (D)肋骨骨折之傷患可給予止痛藥物以免影響呼吸功能，造成進一步之肺部併發症及腸胃問題。,28,
104,63,D,關於壓碎性傷害，以下敍述何者為非？ (A)肢體長期壓迫，導致受傷肌肉釋放毒性物質引起急性腎衰竭。 (B)可能出現高 CK、高鉀、高磷、低鈣的情形。 (C)可以大量輸液，以及鹼化尿液來治療。 (D)受傷後數個小時內，CK 值不高即可排除。,30,
104,64,C,創傷傷患在插管建立確切呼吸道後，要確定插管在氣管內，下列何者為是？ (A)在聽診胸部時，聽到呼吸聲就可確定插管位置。 (B)照 CXR 看插管是否在氣管。 (C)利用潮氣末二氧化碳偵測器（End-tidal CO2 detectors）。 (D)看胸部是否起伏，胸部有起伏表示插管在氣管內。,14、25,
104,65,D,幼兒的各項受傷中，可能懷疑有兒童虐待的情形何者為非？ (A)Corner 骨折。 (B)Epiphyseal-metaphyseal 的肋骨骨折。 (C)旋轉性上臂肱骨骨折。 (D)二次以上的肘關節脫臼。,32、48,
104,66,C,某一工人在建築工地倒塌中被卡在瓦礫中，約 6 個小時後被救，送至急診室，經檢查並無明顯骨折，但傷患下半身酸痛無力，再來應做那些檢查？ (A)電腦斷層。 (B)血糖測定。 (C)血液生化、CPK 及 Myoglobulin 測定。 (D)神經傳導及肌電圖檢查。,30,
104,67,B,五十歲男性，因車禍被送入急診，意識清楚，自訴駕車不慎撞及路墩，並抱怨胸痛，此時您認為下列何種病史最具診斷價值？ (A)是否使用安全帶。 (B)方向盤是否變形。 (C)開車前是否喝酒。 (D)是否邊開車邊使用行動電話。,25,
104,68,B,KTV 發生打架互毆事件，其中一傷患自行步入急診，主訴腹部被棒球鋁棒重擊後，疼痛異常，經你檢查此腹部鈍傷的傷患後，安排腹部 X-光檢查，你於 X-光影像中發現腰肌影像（Psoas shadow）旁有游離空氣（free air），此時要高度懷疑傷患何處受傷？ (A)脾臟。 (B)十二指腸。 (C)胰臟。 (D)空腸。,29,
104,69,D,40 歲女姓，走樓梯時不慎滑倒，經送醫檢查診斷為中央脊髓症候群 (Central cord syndorme)，下列有關此脊髓受傷之敘述中何者為是？ (A)後脊髓動脈分支的損傷可能是主要原因。 (B)下肢運動喪失比上肢嚴重。 (C)用 steroid 治療，先 Solu-medrol 54mg/kg 滴注，之後再持續 23 小時以 3.0mg/kg/hr 滴注。 (D)恢復時依先後次序為下肢、膀胱、近側上肢、手。,27,
104,70,D,關於創傷到院前救護的觀念，以下何者為是？ (A)越是嚴重的傷患，越需要就近送醫。 (B)良好的到院前創傷救護系統能夠降低的是『不可預防死亡』 (non-preventable death) ，至於『可預防死亡』 (preventable death) 則是要透過公衛手法，例如宣導騎機車使用安全帽，才能降低。 (C)創傷出血性休克傷患的確定照護（Definite care）是緊急輸血。 (D)現場創傷檢傷比較能夠容忍過度檢傷 (over triage) 而不是檢傷不足（under triage）。,25,
104,71,B,8 歲男童，從樹上約一公尺摔下，意識清楚，左手肘變形，下列敘述何者為非？ (A)在固定患肢前，必須必要估遠端的感覺運動功能及脈搏。 (B)若是患者大拇指和食指在掌指關節處 (metacarpophalangeal joint) 無法屈曲 (flexion) ，代表尺神經 (ulnar nerve ) 受傷。 (C)若是患者手腕無法過度伸展 (hyperextension) ，代表橈神經 (radial nerve) 受傷。 (D)注意傷患可能合併胸腹部鈍傷，可能胸部 X 光正常，但仍有胸部挫傷。,30,
104,72,A,關於損傷預防的 3 個 E，以下敘述何者為是？ (A)有權制定損傷預防相關法規的官員或議員都是被教育（education）的對象之一。 (B)法律強制（enforcement）的效果最差，若非不得已，不建議使用。 (C)緊急狀態宣告（emergency），針對天災人禍，對適用地區宣告緊急狀態，有助於避免傷害的發生。 (D)安全設計（engineering）的例子：以科學方法測量煞車痕，推算車禍發生時的車速來幫助釐清肇事責任。,25,
104,73,B,初步評估的目標是抓出可能立即致死之創傷狀況，以下敘述何者為是？ (A)創傷性主動脈剝離死亡率極高，是以需在初級評估診斷並予以治療。 (B)心包膜填塞的理學檢查體徵包括雙側頸動脈怒張與遙遠模糊的心音。 (C)左側張力性氣胸的會造成左側單側的頸靜脈怒張，右側張力性氣胸則是造成右側單側頸靜脈怒張。 (D)開放性氣胸若導致傷患死亡，其機轉是因為出血性休克所致。,28,
104,74,A,貴單位的醫療指導決定明年 1 月 1 日起將創傷現場檢傷送創傷中心的條件，由 GCS<13 改成 <=14，假設醫療水準與人口組成，交通狀況均相似的假設下，請問您預估明年度的送醫狀況相較於今年度，下列敘述何者為是？ (A)會有更多的 ISS>=16（嚴重創傷）傷患因為這個改變被正確送到創傷中心。 (B)明年度創傷中心收治的總人數會下降。 (C)會有更多的 ISS<16 傷患被正確送到就近急救責任醫院。 (D)不會有影響。,25,
104,75,D,關於創傷休克的敘述，以下何者為是？ (A)頸靜脈不可能同時又怒張又塌陷，所以低血溶性休克不可能跟阻塞性休克同時發生。 (B)若研判創傷傷患有心因性休克，需立刻給予傷患阿斯匹靈（Aspirin）300mg 口服。 (C)顱內硬腦膜上出血最容易造成神經性休克。 (D)出血性休克第二期為失償性休克，常見的理學檢查體徵是脈搏壓變小。,26,
